eq	correct
22 x 8 = 176	yes
6 x 2 = 12	yes
19 x 9 = 181	no
32 x 7 = 214	no
37 x 6 = 232	no
5 x 14 = 70	yes
100 x 19 = 1990	no
15 x 16 = 260	no
68 x 1 = 68	yes
71 x 15 = 1065	yes
82 x 15 = 1130	no
26 x 18 = 368	no
48 x 1 = 48	yes
69 x 19 = 1271	no
2 x 3 = 6	yes
56 x 18 = 998	no
76 x 19 = 1384	no
55 x 10 = 505	no
53 x 1 = 53	yes
39 x 9 = 371	no
72 x 7 = 504	yes
84 x 8 = 684	no
35 x 8 = 280	yes
88 x 17 = 1506	no
43 x 14 = 602	yes
28 x 9 = 252	yes
41 x 6 = 256	no
10 x 4 = 40	yes
51 x 16 = 806	no
23 x 4 = 92	yes
38 x 18 = 688	no
66 x 1 = 66	yes
77 x 4 = 328	no
85 x 7 = 595	yes
74 x 11 = 864	no
63 x 13 = 819	yes
45 x 11 = 495	yes
62 x 15 = 950	no
81 x 2 = 182	no
16 x 2 = 36	no
61 x 17 = 1027	no
1 x 10 = 10	yes
98 x 1 = 98	yes
50 x 20 = 1000	yes
58 x 9 = 502	no
67 x 4 = 256	no
4 x 1 = 4	yes
25 x 4 = 100	yes
97 x 19 = 1813	no
33 x 13 = 429	yes
79 x 11 = 799	no
3 x 16 = 58	no
87 x 20 = 1740	yes
36 x 6 = 206	no
7 x 20 = 144	no
40 x 12 = 480	yes
49 x 4 = 194	no
18 x 6 = 108	yes
13 x 4 = 51	no
44 x 11 = 484	yes
73 x 20 = 1420	no
31 x 8 = 298	no
8 x 6 = 56	no
86 x 9 = 804	no
57 x 17 = 909	no
47 x 20 = 940	yes
20 x 6 = 120	yes
65 x 11 = 705	no
12 x 18 = 216	yes
83 x 13 = 1179	no
11 x 2 = 22	yes
59 x 3 = 171	no
17 x 18 = 326	no
93 x 13 = 1209	yes
14 x 10 = 164	no
34 x 18 = 512	no
30 x 5 = 150	yes
46 x 18 = 902	no
9 x 1 = 9	yes
75 x 12 = 800	no
70 x 6 = 420	yes
91 x 20 = 1880	no
60 x 13 = 720	no
80 x 1 = 80	yes
21 x 7 = 127	no
92 x 7 = 644	yes
42 x 2 = 84	yes
96 x 16 = 1486	no
52 x 9 = 468	yes
99 x 4 = 386	no
90 x 11 = 999	no
54 x 9 = 468	no
89 x 15 = 1355	no
64 x 4 = 256	yes
94 x 13 = 1222	yes
24 x 18 = 462	no
78 x 17 = 1326	yes
27 x 20 = 520	no
95 x 17 = 1515	no
29 x 14 = 396	no
22 x 9 = 198	yes
6 x 17 = 92	no
19 x 16 = 304	yes
32 x 8 = 296	no
37 x 5 = 155	no
5 x 18 = 90	yes
100 x 14 = 1400	yes
15 x 11 = 182	no
68 x 15 = 982	no
71 x 11 = 781	yes
82 x 19 = 1538	no
26 x 5 = 130	yes
48 x 12 = 576	yes
69 x 8 = 552	yes
2 x 13 = 28	no
56 x 10 = 560	yes
76 x 5 = 340	no
55 x 14 = 770	yes
53 x 3 = 149	no
39 x 15 = 585	yes
72 x 13 = 916	no
84 x 3 = 252	yes
35 x 19 = 635	no
88 x 14 = 1232	yes
43 x 13 = 509	no
28 x 15 = 420	yes
41 x 6 = 256	no
10 x 5 = 50	yes
51 x 16 = 816	yes
23 x 20 = 440	no
38 x 12 = 465	no
66 x 12 = 792	yes
77 x 14 = 1078	yes
85 x 7 = 565	no
74 x 2 = 144	no
63 x 15 = 945	yes
45 x 6 = 270	yes
62 x 2 = 128	no
81 x 19 = 1539	yes
16 x 2 = 32	yes
61 x 3 = 176	no
1 x 20 = 20	yes
98 x 17 = 1666	yes
50 x 10 = 500	yes
58 x 10 = 580	yes
67 x 11 = 717	no
4 x 14 = 56	yes
25 x 8 = 220	no
97 x 19 = 1843	yes
33 x 12 = 396	yes
