index	date	time	participant	sex	age	fluency	practice	itemNr	item	itemFreq	presentedItem	testResp	correct	testRespOrder	testRespArr	testTimeArr	judgmentType	ratingItem	ratingTrial	rating	ratingTime	studyTrial	studyTime	studyItem	totalExpTime	startInfoTime	participantInputTime	ratingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	psych_student	firstTime	consent	consentTime	previouslyUsedPnumber	belief	firstEnglish	languageText	disturbed	disturbedText	ratingEffort	studyEffort	computerText	screen_width	screen_height	screen_availWidth	screen_availHeight
0	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	high	no	1	bucket	10.02	BUCKET	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
1	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	low	no	2	branch	10.08	bRaNcH	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
2	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	low	no	3	sunset	10.31	sUnSeT	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
3	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	high	no	4	barrel	10.63	BARREL	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
4	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	low	no	5	wizard	10.63	wIzArD	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
5	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	high	no	6	banana	10.73	BANANA	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
6	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	low	no	7	potato	11.29	pOtAtO	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
7	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	high	no	8	pillow	11.39	PILLOW	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
8	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	low	no	9	carpet	11.65	cArPeT	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
9	Sun Mar 12 2017	16:54:42 GMT-0400 (EDT)	28	female	2	low	no	10	picnic	11.69	pIcNiC	x	0	x	x	x	EOL	x	x	x	x	x	x	x	15395	859	3507	0	0	0	0	yes	yes	yes	8473	yes	x	x	x	x	x	x	x	x	1440	900	1436	877
