index	date	time	participant	sex	age	itemType	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	studyRatingTrial	studyRatingItem	studyTime	rating	ratingTime	noteReadingItem	noteReadingTrial	noteReadingItemText	noteReadingRespArr	noteReadingRespTime	noteReadingCorrect	totalExpTime	startInfoTime	backgroundInputTime	studyRatingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	noteReadingInfoTime	psych_student	firstTime	consent	consentTime	q_pianoTime	q_pianoLessonTime	q_currentlyPlaying	q_timeSinceStoppedPlaying	q_playingProficiency	q_sightReadingProficiency	q_byEarProficiency	q_musicTheory	q_musicTheoryText	q_otherInstrument	q_otherInstrumentText	q_belief	q_firstEnglish	q_languageText	q_disturbed	q_disturbedText	q_ratingEffort	q_studyEffort
0	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	main	1	pic1	1	old	pic1	old	1	2	556		x	1	pic1	5003	timeout	5001	x	x	x	x	x	x	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
1	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	main	2	pic2	1	old	pic2	old	1	0	975		x	2	pic2	5006	timeout	5006	x	x	x	x	x	x	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
2	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	main	3	pic3	1	new	pic3	old	0	4	428		x	x	x	x	x	x	x	x	x	x	x	x	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
3	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	main	4	pic4	1	new	pic4	old	0	5	159		x	x	x	x	x	x	x	x	x	x	x	x	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
4	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	main	5	pic5	1	new	pic5	old	0	6	258		x	x	x	x	x	x	x	x	x	x	x	x	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
5	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	main	6	pic6	1	old	pic6	old	1	3	482		x	0	pic6	5006	60	2368	x	x	x	x	x	x	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
6	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	main	7	pic7	1	new	pic7	old	0	7	247		x	x	x	x	x	x	x	x	x	x	x	x	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
7	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	main	8	pic8	1	old	pic8	old	1	1	465		x	3	pic8	5001	60	3410	x	x	x	x	x	x	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
8	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR1	noteReading1	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading1	0	ABC		10005	0	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
9	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR2	noteReading2	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading2	3	ABC	CDE	2946	0	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
10	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR3	noteReading3	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading3	2	ABC	ABC	3063	1	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
11	Thu Mar 09 2017	11:30:01 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR4	noteReading4	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading4	1	ABC	ABC	5258	1	83909	0	0	3120	0	1341	0	1158	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
