index	date	time	participant	sex	age	itemType	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	studyRatingTrial	studyRatingItem	studyTime	rating	ratingTime	noteReadingItem	noteReadingTrial	noteReadingItemText	noteReadingRespArr	noteReadingRespTime	noteReadingCorrect	totalExpTime	startInfoTime	backgroundInputTime	studyRatingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	noteReadingInfoTime	psych_student	firstTime	consent	consentTime	q_pianoTime	q_pianoLessonTime	q_currentlyPlaying	q_timeSinceStoppedPlaying	q_playingProficiency	q_sightReadingProficiency	q_byEarProficiency	q_musicTheory	q_musicTheoryText	q_otherInstrument	q_otherInstrumentText	q_belief	q_firstEnglish	q_languageText	q_disturbed	q_disturbedText	q_ratingEffort	q_studyEffort	screen_width	screen_height	screen_availWidth	screen_availHeight	navigator_appName	navigator_appVersion
0	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	main	1	pic1	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
1	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	main	2	pic2	1	old	x	x	0	x	x		x	0	pic2	5001	timeout	1551	x	x	x	x	x	x	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
2	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	main	3	pic3	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
3	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	main	4	pic4	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
4	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	main	5	pic5	1	old	x	x	0	x	x		x	1	pic5	5130	timeout	1857	x	x	x	x	x	x	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
5	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	main	6	pic6	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
6	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	main	7	pic7	1	old	x	x	0	x	x		x	2	pic7	3858	timeout	1663	x	x	x	x	x	x	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
7	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	main	8	pic8	1	old	x	x	0	x	x		x	3	pic8	5003	timeout	5005	x	x	x	x	x	x	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
8	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR1	noteReading1	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading1	2	ABC	CCC	1633	0	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
9	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR2	noteReading2	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading2	3	ABC	CCC	634	0	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
10	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR3	noteReading3	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading3	1	ABC	CCC	912	0	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
11	Thu Mar 09 2017	16:08:27 GMT-0500 (EST)	7	undefined	undefined	noteReading	NR4	noteReading4	1	x	x	x	0	x	x		x	x	x	x	x	x	noteReading4	0	ABC	CCC	2099	0	56456	0	0	1132	0	2643	0	3944	undefined	undefined	undefined	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877	Netscape	5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36
