index	date	time	participant	sex	age	itemType	itemNr	item	itemDiff	oldOrNew	testItem	testResp	correct	testTrial	testTime	judgmentType	ratingItem	studyRatingTrial	studyRatingItem	studyTime	rating	ratingTime	noteReadingItem	noteReadingTrial	noteReadingItemText	noteReadingRespArr	noteReadingRespTime	noteReadingCorrect	totalExpTime	startInfoTime	backgroundInputTime	studyRatingInfoTime	studyInfoTime	testInfoTime	distInfoTime1	noteReadingInfoTime	psych_student	firstTime	consent	consentTime	previouslyUsedPnumber	q_pianoTime	q_pianoLessonTime	q_currentlyPlaying	q_timeSinceStoppedPlaying	q_playingProficiency	q_sightReadingProficiency	q_byEarProficiency	q_musicTheory	q_musicTheoryText	q_otherInstrument	q_otherInstrumentText	q_belief	q_firstEnglish	q_languageText	q_disturbed	q_disturbedText	q_ratingEffort	q_studyEffort	q_computerText	screen_width	screen_height	screen_availWidth	screen_availHeight
0	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	main	1	pic1	1	old	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
1	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	main	2	pic2	1	old	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
2	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	main	3	pic3	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
3	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	main	4	pic4	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
4	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	main	5	pic5	1	old	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
5	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	main	6	pic6	1	old	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
6	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	main	7	pic7	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
7	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	main	8	pic8	1	new	x	x	0	x	x		x	x	x	x	x	x	x	x	x	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
8	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	noteReading	NR1	noteReading1	1	x	x	x	0	x	x		x	x	x	x	x	x	x	x	ABC	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
9	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	noteReading	NR2	noteReading2	1	x	x	x	0	x	x		x	x	x	x	x	x	x	x	ABC	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
10	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	noteReading	NR3	noteReading3	1	x	x	x	0	x	x		x	x	x	x	x	x	x	x	ABC	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
11	Sun Mar 12 2017	18:02:54 GMT-0400 (EDT)	7	undefined	undefined	noteReading	NR4	noteReading4	1	x	x	x	0	x	x		x	x	x	x	x	x	x	x	ABC	x	x	x	13467	0	0	0	0	0	0	0	undefined	undefined	yes	11924	yes	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1440	900	1436	877
