ItemNr	Item	ItemDiff	List
49	jord - lera	2	B
50	mörk - höst	2	B
51	fingrar - klor	2	B
52	natt - pyjamas	2	B
53	minne - grav	2	B
54	älv - lax	2	B
55	baby - säng	2	B
56	hål - ring	2	B
57	arg - städa	2	B
58	slita - bita	2	B
59	fort - springa	2	B
60	hand - näve	2	B
61	ljus - energi	2	B
62	hjärna - skalle	2	B
63	drottning - titel	2	B
64	stor - elefant	2	B
65	vacker - natur	2	B
66	flyga - rymd	2	B
67	glad - fest	2	B
68	sjunga - fågel	2	B
69	snigel - skal	2	B
70	lamm - herde	2	B
71	invånare - bostad	2	B
72	söt - charmig	2	B
73	stol - pall	2	B
74	bad - smuts	2	B
75	grön - start	2	B
76	mage - sjuk	2	B
77	blomster - torg	2	B
78	gott - middag	2	B
79	flod - ström	2	B
80	fot - mått	2	B
81	rädd - skaka	2	B
82	vågor - brus	2	B
83	sakta - stanna	2	B
84	slät - blank	2	B
85	sax - tyg	2	B
86	klippa - solid	2	B
87	grammofon - gammal	2	B
88	sorg - vrede	2	B
89	stark - häst	2	B
90	trött - passiv	2	B
91	musik - ljud	2	B
92	smal - sticka	2	B
93	kvadrat - kloss	2	B
94	hög - stege	2	B
95	triangel - trafik	2	B
96	hår - tofs	2	B
