pNr	condition	used
601	5	no
602	1	no
603	5	no
604	4	no
605	2	no
606	6	no
607	2	no
608	3	no
609	3	no
610	6	no
611	1	no
612	5	no
613	2	no
614	6	no
615	6	no
616	4	no
617	5	no
618	1	no
619	3	no
620	1	no
621	1	no
622	2	no
623	4	no
624	3	no
625	1	no
626	1	no
627	6	no
628	3	no
629	2	no
630	2	no
631	5	no
632	6	no
633	2	no
634	4	no
635	5	no
636	4	no
637	1	no
638	1	no
639	6	no
640	2	no
641	3	no
642	5	no
643	6	no
644	5	no
645	2	no
646	4	no
647	2	no
648	5	no
649	1	no
650	5	no
651	4	no
652	1	no
653	4	no
654	6	no
655	4	no
656	4	no
657	2	no
658	6	no
659	2	no
660	5	no
661	4	no
662	4	no
663	1	no
664	2	no
665	1	no
666	2	no
667	1	no
668	2	no
669	2	no
670	2	no
671	5	no
672	6	no
673	5	no
674	2	no
675	3	no
676	2	no
677	5	no
678	6	no
679	4	no
680	2	no
681	3	no
682	4	no
683	6	no
684	2	no
685	1	no
686	3	no
687	3	no
688	2	no
689	5	no
690	2	no
691	4	no
692	2	no
693	4	no
694	4	no
695	5	no
696	6	no
697	4	no
698	3	no
699	5	no
700	3	no
701	3	no
702	1	no
703	2	no
704	1	no
705	3	no
706	4	no
707	3	no
708	5	no
709	4	no
710	5	no
711	3	no
712	4	no
713	5	no
714	4	no
715	3	no
716	6	no
717	6	no
718	4	no
719	6	no
720	1	no
721	4	no
722	5	no
723	1	no
724	5	no
725	5	no
726	1	no
727	3	no
728	3	no
729	2	no
730	5	no
731	5	no
732	1	no
733	5	no
734	4	no
735	1	no
736	2	no
737	2	no
738	4	no
739	2	no
740	1	no
741	4	no
742	2	no
743	6	no
744	4	no
745	4	no
746	4	no
747	3	no
748	3	no
749	6	no
750	4	no
751	2	no
752	2	no
753	3	no
754	1	no
755	6	no
756	4	no
757	1	no
758	1	no
759	6	no
760	6	no
761	6	no
762	5	no
763	3	no
764	5	no
765	6	no
766	2	no
767	3	no
768	6	no
769	3	no
770	2	no
771	5	no
772	3	no
773	4	no
774	1	no
775	2	no
776	2	no
777	2	no
778	1	no
779	3	no
780	4	no
781	3	no
782	4	no
783	3	no
784	4	no
785	6	no
786	3	no
787	3	no
788	6	no
789	5	no
790	6	no
791	1	no
792	2	no
793	4	no
794	5	no
795	6	no
796	6	no
797	3	no
798	1	no
799	5	no
800	1	no
801	6	no
802	6	no
803	6	no
804	1	no
805	4	no
806	1	no
807	1	no
808	4	no
809	5	no
810	3	no
811	6	no
812	5	no
813	1	no
814	4	no
815	4	no
816	1	no
817	1	no
818	5	no
819	5	no
820	6	no
821	5	no
822	4	no
823	1	no
824	1	no
825	2	no
826	1	no
827	4	no
828	4	no
829	1	no
830	4	no
831	6	no
832	3	no
833	1	no
834	1	no
835	3	no
836	6	no
837	6	no
838	6	no
839	1	no
840	1	no
841	2	no
842	2	no
843	2	no
844	6	no
845	6	no
846	3	no
847	2	no
848	3	no
849	6	no
850	5	no
851	6	no
852	3	no
853	5	no
854	3	no
855	1	no
856	2	no
857	1	no
858	5	no
859	6	no
860	4	no
861	5	no
862	2	no
863	2	no
864	3	no
865	5	no
866	3	no
867	1	no
868	5	no
869	3	no
870	3	no
871	5	no
872	4	no
873	3	no
874	5	no
875	5	no
876	5	no
877	2	no
878	6	no
879	2	no
880	1	no
881	3	no
882	6	no
883	5	no
884	6	no
885	2	no
886	5	no
887	6	no
888	5	no
889	6	no
890	3	no
891	6	no
892	2	no
893	4	no
894	4	no
895	3	no
896	3	no
897	4	no
898	3	no
899	3	no
900	1	no
