pNr	condition	used
601	1	no
602	3	no
603	6	no
604	3	no
605	2	no
606	1	no
607	2	no
608	6	no
609	5	no
610	5	no
611	3	no
612	1	no
613	3	no
614	3	no
615	1	no
616	6	no
617	5	no
618	3	no
619	6	no
620	3	no
621	5	no
622	1	no
623	2	no
624	5	no
625	1	no
626	4	no
627	5	no
628	5	no
629	6	no
630	2	no
631	3	no
632	2	no
633	2	no
634	5	no
635	5	no
636	6	no
637	2	no
638	1	no
639	2	no
640	6	no
641	4	no
642	3	no
643	1	no
644	4	no
645	2	no
646	1	no
647	4	no
648	6	no
649	2	no
650	2	no
651	4	no
652	3	no
653	2	no
654	6	no
655	4	no
656	2	no
657	4	no
658	2	no
659	3	no
660	5	no
661	6	no
662	2	no
663	6	no
664	4	no
665	5	no
666	1	no
667	2	no
668	6	no
669	5	no
670	3	no
671	5	no
672	2	no
673	2	no
674	5	no
675	4	no
676	5	no
677	1	no
678	4	no
679	3	no
680	1	no
681	4	no
682	2	no
683	4	no
684	6	no
685	4	no
686	4	no
687	3	no
688	6	no
689	4	no
690	6	no
691	1	no
692	3	no
693	1	no
694	2	no
695	3	no
696	1	no
697	1	no
698	2	no
699	4	no
700	5	no
701	5	no
702	5	no
703	4	no
704	5	no
705	2	no
706	4	no
707	6	no
708	4	no
709	1	no
710	3	no
711	1	no
712	3	no
713	4	no
714	6	no
715	3	no
716	6	no
717	6	no
718	4	no
719	3	no
720	2	no
721	6	no
722	1	no
723	3	no
724	1	no
725	6	no
726	4	no
727	3	no
728	2	no
729	1	no
730	1	no
731	4	no
732	6	no
733	5	no
734	3	no
735	3	no
736	6	no
737	6	no
738	6	no
739	6	no
740	4	no
741	5	no
742	2	no
743	4	no
744	6	no
745	6	no
746	2	no
747	6	no
748	4	no
749	6	no
750	3	no
751	3	no
752	3	no
753	1	no
754	6	no
755	1	no
756	2	no
757	6	no
758	4	no
759	3	no
760	1	no
761	1	no
762	5	no
763	4	no
764	1	no
765	1	no
766	1	no
767	2	no
768	1	no
769	1	no
770	6	no
771	3	no
772	5	no
773	6	no
774	2	no
775	1	no
776	2	no
777	5	no
778	4	no
779	3	no
780	6	no
781	5	no
782	2	no
783	2	no
784	5	no
785	1	no
786	4	no
787	6	no
788	5	no
789	5	no
790	1	no
791	1	no
792	4	no
793	3	no
794	3	no
795	6	no
796	3	no
797	5	no
798	4	no
799	1	no
800	5	no
801	3	no
802	3	no
803	6	no
804	5	no
805	6	no
806	4	no
807	4	no
808	3	no
809	5	no
810	5	no
811	1	no
812	5	no
813	1	no
814	3	no
815	1	no
816	2	no
817	4	no
818	3	no
819	3	no
820	1	no
821	2	no
822	4	no
823	6	no
824	4	no
825	4	no
826	5	no
827	6	no
828	6	no
829	1	no
830	4	no
831	4	no
832	4	no
833	1	no
834	6	no
835	5	no
836	5	no
837	4	no
838	1	no
839	2	no
840	2	no
841	5	no
842	2	no
843	4	no
844	1	no
845	1	no
846	3	no
847	2	no
848	2	no
849	3	no
850	1	no
851	6	no
852	4	no
853	3	no
854	4	no
855	5	no
856	4	no
857	5	no
858	3	no
859	1	no
860	6	no
861	6	no
862	6	no
863	6	no
864	4	no
865	2	no
866	3	no
867	2	no
868	4	no
869	2	no
870	2	no
871	5	no
872	5	no
873	5	no
874	1	no
875	5	no
876	2	no
877	3	no
878	3	no
879	2	no
880	2	no
881	1	no
882	1	no
883	5	no
884	6	no
885	2	no
886	3	no
887	5	no
888	5	no
889	5	no
890	4	no
891	4	no
892	3	no
893	5	no
894	3	no
895	3	no
896	2	no
897	2	no
898	5	no
899	2	no
900	6	no
